,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
213,Forever 21,Pleated Plaid Skirt,bottoms,Product Code : 2000408740,08/18/2020 17:15:21,Pleated Plaid Skirt | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottoms/2000408740,$19.99,"- shell: 82% polyester, 18% viscose- lining: 100% rayon", , ,82% , ,100% , , , , ,18% , , , 
214,Forever 21,Striped Crew T-Shirt Dress,top,Product Code : 2000408594,08/18/2020 17:15:27,Striped Crew T-Shirt Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000408594,$14.99,- 100% cotton, ,100% , , , , , , , , , , , 
215,Forever 21,Fit & Flare Cami Dress,top,Product Code : 2000409633,08/18/2020 17:15:33,Fit & Flare Cami Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000409633,$19.99,- shell: 100% rayon- lining: 100% polyester, , ,100% , ,100% , , , , , , , , 
216,Forever 21,Ruffle-Trim Sleeveless Top,top,Product Code : 2000412033,08/18/2020 17:15:39,Ruffle-Trim Sleeveless Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000412033,$18.00,"- shell: 100% polyester- lining: 95% polyester, 5% spandex", , ,100% , , , ,5% , , , , , , 
217,Forever 21,Chiffon Ruffle-Trim Wrap Top,top,Product Code : 2000412148,08/18/2020 17:15:45,Chiffon Ruffle-Trim Wrap Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000412148,$22.00,- 100% polyester, , ,100% , , , , , , , , , , 
218,Forever 21,Relaxed Rib-Trim Sweater,outterwear/jacket,Product Code : 2000407835,08/18/2020 17:15:52,Relaxed Rib-Trim Sweater | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000407835,$12.00,"- 76% acrylic, 24% polyester", , ,24% ,76% , , , , , , , , , 
219,Forever 21,Tiger Print Slip Dress,dress,Product Code : 2000412888,08/18/2020 17:15:59,Tiger Print Slip Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000412888,$18.00,"- 55% viscose, 45% rayon", , , , ,45% , , , , ,55% , , , 
220,Forever 21,Floral Print Tie-Back Mini Dress,dress,Product Code : 2000409849,08/18/2020 17:16:08,Floral Print Tie-Back Mini Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000409849,$25.00,"- shell: 100% polyester- lining: 95% polyester, 5% spandex", , ,100% , , , ,5% , , , , , , 
221,Forever 21,Ribbed Tie-Front Top,top,Product Code : 2000413668,08/18/2020 17:16:14,Ribbed Tie-Front Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000413668,$18.00,"- 65% polyester, 26% rayon, 9% spandex", , ,65% , ,26% , ,9% , , , , , , 
222,Forever 21,Plunging Lace-Trim Top,top,Product Code : 2000400539,08/18/2020 17:16:20,Plunging Lace-Trim Top | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000400539,$19.99,- 100% polyester, , ,100% , , , , , , , , , , 
223,Forever 21,Chiffon Ruffle-Trim Wrap Dress,dress,Product Code : 2000412034,08/18/2020 17:16:28,Chiffon Ruffle-Trim Wrap Dress | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/dress/2000412034,$25.00,- 100% polyester, , ,100% , , , , , , , , , , 
224,Forever 21,Tie-Dye Biker Shorts Set,bottoms,Product Code : 2000416700,08/18/2020 17:16:35,Tie-Dye Biker Shorts Set | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottoms/2000416700,$18.00,"- 92% polyester, 8% spandex", , ,92% , , , ,8% , , , , , , 
225,Forever 21,Grid Print Stretch Pants,bottoms,Product Code : 2000407388,08/18/2020 17:16:41,Grid Print Stretch Pants | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/bottoms/2000407388,$19.99,"- 75% rayon, 22% nylon, 3% spandex", , , , ,75% , ,3% ,22% , , , , , 
226,Forever 21,Line Art Figure Graphic Tee,top,Product Code : 2000402021,08/18/2020 17:16:48,Line Art Figure Graphic Tee | Forever 21,https://www.forever21.com/us/shop/catalog/product/f21/top_blouses/2000402021,$14.99,- 100% cotton, ,100% , , , , , , , , , , , 
