,Brand,Name,Type,ID,Time of Extraction,PageTitle,PageUrl,Price,Composition,Leather,Cotton,Polyester,Acrylic,Rayon,Modal,Spandex,Nylon,Polyamide,Viscose,Elastane,linen,Lyocell
69,American Apparel,Tri-Blend Slim Fit Crewneck Track T-Shirt,top,tr301w,08/18/2020 15:01:31,Tri-Blend Slim Fit Crewneck Track T-Shirt | American Apparel,https://americanapparel.com/tri-blend-slim-fit-crewneck-track-t-shirt/,$5.60 - $20.51, , , , , , , , , , , , , , 
70,American Apparel,Twill Coverall,bodysuit/romper,ct3562w,08/18/2020 15:01:46,Twill Coverall | American Apparel,https://americanapparel.com/twill-coverall/,$50.20 - $118.00,"twill: inspired by work wear, this non-stretch fabric is built to last.", , , , , , , , , , , , , 
71,American Apparel,Twill Pleated Pant,bottoms,ct3561w,08/18/2020 15:01:59,Twill Pleated Pant | American Apparel,https://americanapparel.com/twill-pleated-pant/,$35.32 - $60.81, , , , , , , , , , , , , , 
72,American Apparel,Unisex Baby Thermal Long Sleeve T-Shirt,top,t407wu,08/18/2020 15:02:11,Unisex Baby Thermal Long Sleeve T-Shirt | American Apparel,https://americanapparel.com/unisex-baby-thermal-long-sleeve-t-shirt/,$19.00 - $20.00, , , , , , , , , , , , , , 
73,American Apparel,Unisex Basic Knit Cardigan,outterwear/jacket,kwc7cdwu,08/18/2020 15:02:22,Unisex Basic Knit Cardigan | American Apparel,https://americanapparel.com/unisex-basic-knit-cardigan/,$33.99 - $45.45, , , , , , , , , , , , , , 
74,American Apparel,Unisex California Fleece Pullover Hoodie,outterwear/jacket,5495wu,08/18/2020 15:02:34,Unisex California Fleece Pullover Hoodie | American Apparel,https://americanapparel.com/unisex-california-fleece-pullover-hoodie/,$8.43 - $44.95,100% cotton, ,100% , , , , , , , , , , , 
75,American Apparel,Unisex California Fleece Raglan,other,5454wu,08/18/2020 15:02:47,Unisex California Fleece Raglan | American Apparel,https://americanapparel.com/unisex-california-fleece-raglan/,$10.60 - $29.99, , , , , , , , , , , , , , 
76,American Apparel,Unisex California Fleece Slim Fit Jogger,bottoms,rsa54240wu,08/18/2020 15:03:00,Unisex California Fleece Slim Fit Jogger | American Apparel,https://americanapparel.com/unisex-california-fleece-slim-fit-jogger/,$11.80 - $35.44,100% cotton, ,100% , , , , , , , , , , , 
77,American Apparel,Unisex California Fleece Track Jacket,outterwear/jacket,5431wu,08/18/2020 15:03:12,Unisex California Fleece Track Jacket | American Apparel,https://americanapparel.com/unisex-california-fleece-track-jacket/,$11.46 - $38.00,100% cotton, ,100% , , , , , , , , , , , 
78,American Apparel,Unisex California Fleece Zip Hoodie,outterwear/jacket,5497wu,08/18/2020 15:03:25,Unisex California Fleece Zip Hoodie | American Apparel,https://americanapparel.com/unisex-california-fleece-zip-hoodie/,$9.53 - $38.74,100% cotton, ,100% , , , , , , , , , , , 
79,American Apparel,Unisex Fisherman's Pullover,outterwear/jacket,rsakwfp-cwu,08/18/2020 15:03:38,Unisex Fisherman's Pullover | American Apparel,https://americanapparel.com/unisex-fishermans-pullover/,$19.06 - $58.00, , , , , , , , , , , , , , 
80,American Apparel,Unisex Flex Fleece Jogger,bottoms,rsaf4352wu,08/18/2020 15:03:50,Unisex Flex Fleece Jogger | American Apparel,https://americanapparel.com/unisex-flex-fleece-jogger/, ,50% polyester / 50% cotton fleece, ,50% ,50% , , , , , , , , , , 
81,American Apparel,Unisex Flex Fleece Pullover,outterwear/jacket,f496wu,08/18/2020 15:04:02,Unisex Flex Fleece Pullover | American Apparel,https://americanapparel.com/unisex-flex-fleece-pullover/,$13.33 - $36.00,50% polyester / 50% cotton fleece, ,50% ,50% , , , , , , , , , , 
82,American Apparel,Unisex Flex Fleece Pullover Hoodie,outterwear/jacket,f498wu,08/18/2020 15:04:15,Unisex Flex Fleece Pullover Hoodie | American Apparel,https://americanapparel.com/unisex-flex-fleece-pullover-hoodie/,$12.90 - $47.10,50% polyester / 50% cotton fleece, ,50% ,50% , , , , , , , , , , 
83,American Apparel,Unisex Flex Fleece Turtleneck,other,f4575wu,08/18/2020 15:04:28,Unisex Flex Fleece Turtleneck | American Apparel,https://americanapparel.com/unisex-flex-fleece-turtleneck/,$24.69 - $28.65, , , , , , , , , , , , , , 
84,American Apparel,Unisex Flex Fleece Zip Hoodie,outterwear/jacket,f497wu,08/18/2020 15:04:41,Unisex Flex Fleece Zip Hoodie | American Apparel,https://americanapparel.com/unisex-flex-fleece-zip-hoodie/,$11.03 - $49.95,50% polyester / 50% cotton fleece, ,50% ,50% , , , , , , , , , , 
85,American Apparel,Unisex Heavy Jersey Box T-Shirt,top,hj402wu,08/18/2020 15:04:52,Unisex Heavy Jersey Box T-Shirt | American Apparel,https://americanapparel.com/unisex-heavy-jersey-box-t-shirt/,$9.12 - $15.43,"inspired by streetwear in la, our rough and tumble 6 oz fabric is a wardrobe staple.", , , , , , , , , , , , , 
86,American Apparel,Unisex Heavy Jersey Long Sleeve Box T-Shirt,top,hj407wu,08/18/2020 15:05:03,Unisex Heavy Jersey Long Sleeve Box T-Shirt | American Apparel,https://americanapparel.com/unisex-heavy-jersey-long-sleeve-box-t-shirt/,$6.03 - $15.88,"inspired by streetwear in la, our rough and tumble 6 oz fabric is a wardrobe staple.", , , , , , , , , , , , , 
87,American Apparel,Unisex Peppered Fleece Pullover Crewneck,outterwear/jacket,rsamt496wu,08/18/2020 15:05:14,Unisex Peppered Fleece Pullover Crewneck | American Apparel,https://americanapparel.com/unisex-peppered-fleece-pullover-crewneck/,$19.20 - $52.14, , , , , , , , , , , , , , 
88,American Apparel,Unisex Peppered Fleece Pullover Hoodie,outterwear/jacket,mt498wu,08/18/2020 15:05:25,Unisex Peppered Fleece Pullover Hoodie | American Apparel,https://americanapparel.com/unisex-peppered-fleece-pullover-hoodie/,$25.14 - $38.00, , , , , , , , , , , , , , 
89,American Apparel,Unisex Peppered Fleece Zip Hoodie,outterwear/jacket,mt497wu,08/18/2020 15:05:39,Unisex Peppered Fleece Zip Hoodie | American Apparel,https://americanapparel.com/unisex-peppered-fleece-zip-hoodie/,$16.51 - $52.18, , , , , , , , , , , , , , 
90,American Apparel,Unisex Tri-Blend Deep V-Neck T-Shirt,top,tr456wu,08/18/2020 15:05:51,Unisex Tri-Blend Deep V-Neck T-Shirt | American Apparel,https://americanapparel.com/unisex-tri-blend-deep-v-neck-t-shirt/,$10.37 - $24.49, , , , , , , , , , , , , , 
